:ﻝﻭﺪﺠﻟﺍ ﻖﻴﺴﻨﺗ //
//
//    subject; subj nominative; subj genitive
//
.ﻪﻔﺻﻭﻭ ﺏﺎﺘﻜﻟﺍ ﻢﺳﺍ ﺪﻴﻟﻮﺗ ﻲﻓ ﻡﺪﺨﺘﺴُﻳ ،Core\..\SkillDef\Skills.xml ﻦﻣ "subject" ﺮﻴﻐﺘﻤﻟﺍ — subject //
.ﺏﺎﺘﻜﻟﺍ ﻢﺳﺍ ﺪﻴﻟﻮﺗ ﻲﻓ ﻡﺪﺨﺘﺴُﻳ ،subject ـﻟ ﻑﺩﺍﺮﻣ ﻭﺃ ﺓﺮﻴﺼﻗ ﺔﻐﻴﺻ — subj //

// Animals
ﺕﺎﻧﺍﻮﻴﺤﻟﺍ ;ﺕﺎﻧﺍﻮﻴﺣ ;ﺔﻴﻧﺍﻮﻴﺤﻟﺍ ﺀﺎﻀﻋﻷﺍ ﻒﺋﺎﻇﻭ ﻢﻠﻋ
ﺕﺎﺷﺎﺷﺮﻟﺍ ;ﺕﺎﺷﺎﺷﺭ ;ﺔﻳﺭﺎﻨﻟﺍ ﺔﺤﻠﺳﻷﺍ ﻡﺍﺪﺨﺘﺳﺍ
ﻲﺴﻘﻟﺍ ;ﻲﺴﻗ ;ﻢﻬﺴﻟﺍﻭ ﺱﻮﻘﻟﺍ ﻡﺍﺪﺨﺘﺳﺍ
ﺮﻴﻇﺎﻨﻤﻟﺍ ;ﺮﻴﻇﺎﻨﻣ ;ﻖﻴﻗﺪﻟﺍ ﺐﻳﻮﺼﺘﻟﺍ
ﺭﺎﻨﻟﺍ ﻕﻼﻃﺇ ;ﺭﺎﻧ ﻕﻼﻃﺇ ;ﺔﻳﺎﻣﺮﻟﺍ ﺓﺭﺎﻬﻣ
ﺔﻳﺎﻣﺮﻟﺍ ﻦﻳﺩﺎﻴﻣ ;ﺔﻳﺎﻣﺭ ﻥﺍﺪﻴﻣ ;ﺔﻳﺎﻣﺮﻟﺍ ﻰﻠﻋ ﺐﻳﺭﺪﺘﻟﺍ
ﻑﺍﺪﻫﻷﺍ ﺔﺑﺎﺻﺇ ;ﻑﺪﻬﻟﺍ ﺔﺑﺎﺻﺇ ;ﺔﺑﺎﺻﻹﺍ ﺔﻗﺩ
ﺕﺎﺳﺪﺴﻤﻟﺍ ;ﺕﺎﺳﺪﺴﻣ ;ﻯﺪﻤﻟﺍ ﺓﺪﻴﻌﺑ ﺔﺤﻠﺳﻷﺍ
ﺔﺻﺎﻨﻘﻟﺍ ﺔﻳﺎﻣﺮﻟﺍ ;ﺔﺻﺎﻨﻗ ﺔﻳﺎﻣﺭ ;ﺺﻨﻘﻟﺍ
ﺕﺎﻴﺘﺴﻴﻟﺎﺒﻟﺍ ;ﺕﺎﻴﺘﺴﻴﻟﺎﺑ ;ﺕﺎﻓﻭﺬﻘﻤﻟﺍ ﻢﻠﻋ
ﺕﺎﻧﻭﺎﻬﻟﺍ ;ﺕﺎﻧﻭﺎﻫ ;ﺪﻴﻌﺒﻟﺍ ﻝﺎﺘﻘﻟﺍ
ﻖﻴﻗﺪﻟﺍ ﺺﻨﻘﻟﺍ ;ﻖﻴﻗﺩ ﺺﻨﻗ ;ﺔﻤﻜﺤﻤﻟﺍ ﺔﻳﺎﻣﺮﻟﺍ
ﻕﺩﺎﻨﺒﻟﺍ ;ﻕﺩﺎﻨﺑ ;ﺔﻴﻗﺪﻨﺒﻟﺍ ﻡﺍﺪﺨﺘﺳﺍ ﺓﺭﺎﻬﻣ
ﺔﻳﻭﺪﻴﻟﺍ ﺕﺎﺳﺪﺴﻤﻟﺍ ;ﺔﻳﻭﺪﻳ ﺕﺎﺳﺪﺴﻣ ;ﻑﺍﺪﻫﻷﺍ ﻰﻠﻋ ﺔﻳﺎﻣﺮﻟﺍ
ﺮﺷﺎﺒﻤﻟﺍ ﺐﻳﻮﺼﺘﻟﺍ ;ﺮﺷﺎﺒﻣ ﺐﻳﻮﺼﺗ ;ﻪﺟﻮﻤﻟﺍ ﻕﻼﻃﻹﺍ
ﺪﻌﺑ ﻦﻋ ﻝﺎﺘﻘﻟﺍ ;ﺪﻌﺑ ﻦﻋ ﻝﺎﺘﻗ ;ﺪﻴﻌﺒﻟﺍ ﻯﺪﻤﻟﺍ ﺕﺎﻜﻴﺘﻜﺗ
ﺔﻳﺭﺎﻨﻟﺍ ﺔﻴﻄﻐﺘﻟﺍ ;ﺔﻳﺭﺎﻧ ﺔﻴﻄﻐﺗ ;ﻊﻤﻘﻟﺍ ﻥﺍﺮﻴﻧ
ﺖﻴﻤﻤﻟﺍ ﻕﻼﻃﻹﺍ ;ﺖﻴﻤﻣ ﻕﻼﻃﺇ ;ﺔﻠﺗﺎﻗ ﻥﺍﺮﻴﻧ
ﺺﻨﻘﻟﺍ ﻕﺩﺎﻨﺑ ;ﺺﻨﻗ ﻕﺩﺎﻨﺑ ;ﻯﺪﻤﻟﺍ ﺪﻴﻌﺑ ﺺﻨﻘﻟﺍ

// Social
ﻞﺻﺍﻮﺘﻟﺍ ;ﻞﺻﺍﻮﺗ ;ﻲﻋﺎﻤﺘﺟﻻﺍ ﻞﺻﺍﻮﺘﻟﺍ
ﺕﺎﻗﻼﻌﻟﺍ ;ﺕﺎﻗﻼﻋ ;ﺕﺎﻗﻼﻌﻟﺍ ﺀﺎﻨﺑ
ﺕﺎﻓﻼﺨﻟﺍ ;ﺕﺎﻓﻼﺧ ;ﺕﺎﻋﺍﺰﻨﻟﺍ ﻞﺣ
ﻥﻭﺎﻌﺘﻟﺍ ;ﻥﻭﺎﻌﺗ ;ﻙﺮﺘﺸﻤﻟﺍ ﻥﻭﺎﻌﺘﻟﺍ
ﺔﻳﺩﺎﻴﻘﻟﺍ ﺕﺍﺭﺎﻬﻤﻟﺍ ;ﺔﻳﺩﺎﻴﻗ ﺕﺍﺭﺎﻬﻣ ;ﺓﺩﺎﻴﻘﻟﺍ
ﻦﻳﺮﺧﻵﺍ ﺱﺎﺴﺣﺇ ;ﻦﻳﺮﺧﻵﺍ ﺱﺎﺴﺣﺇ ;ﻒﻃﺎﻌﺘﻟﺍ
ﺕﺎﻣﻭﺎﺴﻤﻟﺍ ;ﺕﺎﻣﻭﺎﺴﻣ ;ﺽﻭﺎﻔﺘﻟﺍ
ﺔﻀﻳﺎﻘﻤﻟﺍ ;ﺔﻀﻳﺎﻘﻣ ;ﺓﺭﺎﺠﺘﻟﺍ
ﺔﻳﺮﺸﺒﻟﺍ ﺲﻔﻨﻟﺍ ;ﺎﻴﺟﻮﻟﻮﻜﻴﺳ ;ﺲﻔﻨﻟﺍ ﻢﻠﻋ
ﺔﺳﺎﻴﺴﻟﺍ ;ﺔﺳﺎﻴﺳ ;ﺔﻴﺳﺎﻣﻮﻠﺑﺪﻟﺍ
ﺮﻓﺎﻈﺘﻟﺍ ;ﺮﻓﺎﻈﺗ ;ﻲﻋﺎﻤﺠﻟﺍ ﻞﻤﻌﻟﺍ
ﺖﻴﻜﻴﺗﻹﺍ ;ﺖﻴﻜﻴﺗﺇ ;ﻙﻮﻠﺴﻟﺍ ﺏﺍﺩﺁ
ﺔﻴﺼﺨﺸﻟﺍ ﺔﻴﺑﺫﺎﺠﻟﺍ ;ﺔﻴﺼﺨﺸﻟﺍ ﺔﻴﺑﺫﺎﺠﻟﺍ ;ﺎﻣﺰﻳﺭﺎﻜﻟﺍ
ﺔﻗﺎﺒﻠﻟﺍ ;ﺔﻗﺎﺒﻟ ;ﻲﻋﺎﻤﺘﺟﻻﺍ ﺀﺎﻛﺬﻟﺍ
ﺔﻤﻳﺰﻌﻟﺍ ;ﺔﻤﻳﺰﻋ ;ﺭﺍﺮﺻﻹﺍ
ﺮﻋﺎﺸﻤﻟﺍ ;ﺮﻋﺎﺸﻣ ;ﻲﻔﻃﺎﻌﻟﺍ ﺀﺎﻛﺬﻟﺍ
ﺓﺪﻋﺎﺴﻤﻟﺍ ;ﺓﺪﻋﺎﺴﻣ ;ﺔﺑﺎﺠﺘﺳﻻﺍ ﺔﻋﺮﺳ
